gama_x,gama_y
36783.582339658285,17945.660709504038
36664.16716332617,18004.053850141354
36664.16716332617,18004.053850141354
36587.13651303144,17983.191017422825
36664.16716332617,18004.053850141354
36664.16716332617,18004.053850141354
36473.87066053483,17975.63438639976
36756.88561502192,17931.59439302329
36434.54939747881,17874.53105671052
36756.88561502192,17931.59439302329
36661.596583287115,18112.89058616385
36718.06834418746,18167.281649564393
36694.04392891133,17893.428541015834
36759.32735515386,17986.313558743335
36465.72306978295,17916.152864897624
36473.661549338955,17872.65690428298
36742.60127744789,17952.231534092687
36750.24034584232,18061.16419520229
36355.40765041683,17926.368069387972
36677.634048674954,18020.332174967043
36773.44624956476,17962.190622310154
36664.16716332617,18004.053850141354
36773.44624956476,17962.190622310154
36390.02091299486,17926.8390494287
36473.87066053483,17975.63438639976
36569.60799035593,17981.114622474648
36664.16716332617,18004.053850141354
36473.87066053483,17975.63438639976
36664.16716332617,18004.053850141354
36742.60127744789,17952.231534092687
36587.13651303144,17983.191017422825
36404.067482127226,17852.238535166718
36404.067482127226,17852.238535166718
36664.16716332617,18004.053850141354
36457.94981006079,17957.536896388046
36473.87066053483,17975.63438639976
36473.87066053483,17975.63438639976
36750.24034584232,18061.16419520229
36756.88561502192,17931.59439302329
36664.16716332617,18004.053850141354
36664.16716332617,18004.053850141354
36664.16716332617,18004.053850141354
36664.16716332617,18004.053850141354
36664.16716332617,18004.053850141354
36664.16716332617,18004.053850141354
36664.16716332617,18004.053850141354
36664.16716332617,18004.053850141354
36664.16716332617,18004.053850141354
36664.16716332617,18004.053850141354
38421.11706687859,13922.41654631868
38421.11706687859,13922.41654631868
38421.11706687859,13922.41654631868
38421.11706687859,13922.41654631868
38421.11706687859,13922.41654631868
38421.11706687859,13922.41654631868
38421.11706687859,13922.41654631868
38421.11706687859,13922.41654631868
38421.11706687859,13922.41654631868
38421.11706687859,13922.41654631868
38421.11706687859,13922.41654631868
35514.336801525904,16725.27682885155
35514.336801525904,16725.27682885155
35514.336801525904,16725.27682885155
35739.03472480818,17567.6056326665
37838.65745680407,14998.292101703584
36664.16716332617,18004.053850141354
36664.16716332617,18004.053850141354
